NAV Date,NAV (Rs)
02-05-2023,106.1675
28-04-2023,105.4929
27-04-2023,104.6137
26-04-2023,104.1453
25-04-2023,103.936
24-04-2023,103.7911
21-04-2023,103.4491
20-04-2023,103.5718
19-04-2023,103.5013
18-04-2023,103.4451
17-04-2023,103.2715
13-04-2023,103.1198
12-04-2023,102.8043
11-04-2023,102.4843
10-04-2023,101.96
06-04-2023,101.9242
05-04-2023,101.4682
03-04-2023,100.5273
31-03-2023,100.0587
29-03-2023,98.6961
28-03-2023,97.2487
27-03-2023,97.743
24-03-2023,98.8382
23-03-2023,99.8301
22-03-2023,100.0065
21-03-2023,99.2468
20-03-2023,98.6903
17-03-2023,99.5777
16-03-2023,99.0831
15-03-2023,99.7086
14-03-2023,99.4576
13-03-2023,100.1494
10-03-2023,102.0927
09-03-2023,102.6873
08-03-2023,102.9371
06-03-2023,102.3255
03-03-2023,101.498
02-03-2023,100.7326
01-03-2023,100.8963
28-02-2023,99.6774
27-02-2023,99.2846
24-02-2023,100.3655
23-02-2023,100.2135
22-02-2023,99.9949
21-02-2023,101.3181
20-02-2023,101.5017
17-02-2023,101.5899
16-02-2023,101.799
15-02-2023,101.0151
14-02-2023,100.5058
13-02-2023,100.796
10-02-2023,101.6462
09-02-2023,101.0803
08-02-2023,101.1285
07-02-2023,100.6953
06-02-2023,100.423
03-02-2023,100.034
02-02-2023,100.0028
01-02-2023,99.6408
31-01-2023,100.6416
30-01-2023,98.3418
27-01-2023,98.3797
25-01-2023,100.212
24-01-2023,101.1681
23-01-2023,101.4106
20-01-2023,101.7335
19-01-2023,102.1771
18-01-2023,102.2587
17-01-2023,102.0258
16-01-2023,101.8293
13-01-2023,102.2952
12-01-2023,102.0545
11-01-2023,101.8938
10-01-2023,101.8009
09-01-2023,102.3057
06-01-2023,101.6315
05-01-2023,102.1734
04-01-2023,102.0671
03-01-2023,102.9117
02-01-2023,102.7552
30-12-2022,102.1231
29-12-2022,101.4831
28-12-2022,101.3164
27-12-2022,101.0209
26-12-2022,99.6852
23-12-2022,97.3391
22-12-2022,100.7884
21-12-2022,102.1389
20-12-2022,104.1153
19-12-2022,104.2345
16-12-2022,103.9563
15-12-2022,104.813
14-12-2022,105.5187
13-12-2022,105.1136
12-12-2022,104.7132
09-12-2022,104.2971
08-12-2022,105.0844
07-12-2022,104.7023
06-12-2022,105.0676
05-12-2022,105.3053
02-12-2022,105.2059
01-12-2022,104.5157
30-11-2022,103.9303
29-11-2022,103.3796
28-11-2022,103.8336
25-11-2022,103.1764
24-11-2022,102.5257
23-11-2022,101.8403
22-11-2022,101.2705
21-11-2022,101.3299
18-11-2022,101.4568
17-11-2022,101.5981
16-11-2022,101.4766
15-11-2022,101.2859
14-11-2022,101.0752
11-11-2022,101.008
10-11-2022,100.4298
09-11-2022,101.5467
07-11-2022,102.1297
04-11-2022,101.5894
03-11-2022,101.6829
02-11-2022,101.4592
